      4096: /usr/lib/python2.7/_strptime.pyc
      4096: /usr/lib/python2.7/weakref.pyc
      4096: /usr/lib/python2.7/mimetypes.pyc
      4096: /usr/lib/python2.7/stringprep.pyc
      4096: /usr/lib/python2.7/string.pyc
      4096: /usr/lib/python2.7/traceback.pyc
      4096: /usr/lib/python2.7/CGIHTTPServer.pyc
      4096: /usr/lib/python2.7/ctypes/util.pyc
      4096: /usr/lib/python2.7/ctypes/__init__.pyc
      4096: /usr/lib/python2.7/ctypes/macholib
      4096: /usr/lib/python2.7/site-packages/_dbus_glib_bindings.so
      4096: /usr/lib/python2.7/site-packages/dbus/exceptions.py
      4096: /usr/lib/python2.7/site-packages/dbus/connection.py
      4096: /usr/lib/python2.7/site-packages/dbus/decorators.py
      4096: /usr/lib/python2.7/site-packages/dbus/gobject_service.py
      4096: /usr/lib/python2.7/site-packages/dbus/proxies.py
      4096: /usr/lib/python2.7/site-packages/dbus/bus.py
      4096: /usr/lib/python2.7/site-packages/dbus/_dbus.py
      4096: /usr/lib/python2.7/site-packages/dbus/gi_service.py
      4096: /usr/lib/python2.7/site-packages/dbus/server.py
      4096: /usr/lib/python2.7/site-packages/dbus/mainloop
      4096: /usr/lib/python2.7/site-packages/gtk-2.0/dsextras.py
      4096: /usr/lib/python2.7/site-packages/gtk-2.0/gio/unix.so
      4096: /usr/lib/python2.7/site-packages/obmc/dbuslib
      4096: /usr/lib/python2.7/site-packages/obmc/mapper/server.py
      4096: /usr/lib/python2.7/json/encoder.pyc
      4096: /usr/lib/python2.7/json/decoder.pyc
